Rk,Player,WS,MP,ORtg,DRtg,BPM,PER,VORP,WS,Season,Age,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
62,Paul Reed,0.5,11.7,117,105,2.0,17.7,0.1,0.5,2021-22,22,PHI,12,0,11.7,1.6,3.0,1.4,2.8,0.2,0.3,0.3,0.6,1.8,2.0,3.8,0.8,0.8,0.5,0.8,2.4,3.7,.528,.515,.667,.571,.563,.556,F,reedpa01
63,Karl-Anthony Towns,0.5,37.0,108,109,0.4,17.3,0.1,0.5,2021-22,26,MIN,6,6,37.0,6.5,13.3,4.8,9.7,1.7,3.7,7.2,8.3,1.8,9.0,10.8,2.2,0.7,2.0,4.5,4.2,21.8,.488,.500,.455,.860,.642,.550,C-F,townska01
64,Dāvis Bertāns,0.4,10.7,120,113,0.9,13.0,0.1,0.4,2021-22,29,DAL,18,0,10.7,1.2,3.1,0.2,0.2,1.1,2.8,0.6,0.7,0.2,1.2,1.4,0.3,0.4,0.1,0.2,1.4,4.1,.400,.750,.373,.833,.606,.573,F,bertada01
65,Dwight Powell,0.4,13.8,122,116,-4.4,9.3,-0.2,0.4,2021-22,30,DAL,18,18,13.8,1.2,1.9,1.2,1.8,0.0,0.1,0.8,1.3,0.9,1.7,2.6,0.2,0.2,0.3,0.5,2.2,3.2,.629,.667,.000,.609,.643,.629,F-C,poweldw01
66,Ziaire Williams,0.4,16.8,125,112,-0.6,11.8,0.1,0.4,2021-22,20,MEM,10,1,16.8,2.3,5.2,1.2,1.6,1.1,3.6,1.2,1.3,0.4,1.2,1.6,0.5,0.5,0.0,0.2,1.4,6.9,.442,.750,.306,.923,.598,.548,F,willizi02
67,Larry Nance Jr.,0.4,21.7,134,120,3.2,20.7,0.2,0.4,2021-22,29,NOP,6,0,21.7,3.7,6.5,3.3,5.0,0.3,1.5,1.5,1.8,3.2,2.7,5.8,1.8,0.5,0.3,1.0,2.5,9.2,.564,.667,.222,.818,.627,.590,F-C,nancela02
68,Jordan McLaughlin,0.4,16.6,163,111,7.7,21.0,0.2,0.4,2021-22,25,MIN,5,0,16.6,2.4,3.4,1.6,2.0,0.8,1.4,0.6,0.8,0.0,2.4,2.4,3.4,1.0,0.0,0.4,1.0,6.2,.706,.800,.571,.750,.826,.824,G,mclaujo01
69,Kyrie Irving,0.4,42.5,122,121,2.8,19.2,0.2,0.4,2021-22,29,BRK,4,4,42.5,7.0,15.8,5.0,10.5,2.0,5.3,5.3,5.3,1.5,3.8,5.3,5.3,1.8,1.3,2.3,3.3,21.3,.444,.476,.381,1.000,.588,.508,G,irvinky01
70,De'Andre Hunter,0.4,35.0,117,116,2.9,16.8,0.2,0.4,2021-22,24,ATL,5,5,35.0,7.8,14.0,5.4,8.8,2.4,5.2,3.2,4.0,0.4,3.4,3.8,0.6,0.8,0.2,2.2,4.0,21.2,.557,.614,.462,.800,.673,.643,F,huntede01
71,Victor Oladipo,0.4,24.5,97,105,-0.3,11.5,0.2,0.4,2021-22,29,MIA,15,1,24.5,3.3,9.1,2.2,4.9,1.1,4.1,2.8,3.5,0.3,3.1,3.4,2.1,1.3,0.3,1.7,1.9,10.6,.368,.446,.274,.792,.499,.430,G,oladivi01
72,Delon Wright,0.4,27.4,129,116,4.8,15.9,0.2,0.4,2021-22,29,ATL,5,0,27.4,3.0,5.8,2.0,3.2,1.0,2.6,1.2,1.8,2.2,2.6,4.8,2.8,0.8,0.2,1.0,0.4,8.2,.517,.625,.385,.667,.622,.603,G,wrighde01
73,Herbert Jones,0.4,37.7,122,118,0.4,11.6,0.1,0.4,2021-22,23,NOP,6,6,37.7,3.5,7.3,2.7,5.3,0.8,2.0,2.8,3.7,1.3,2.0,3.3,1.8,1.8,0.8,1.3,3.7,10.7,.477,.500,.417,.773,.596,.534,F,joneshe01
74,Jaden McDaniels,0.4,21.7,125,113,4.1,15.3,0.2,0.4,2021-22,21,MIN,6,0,21.7,3.0,5.7,1.3,2.3,1.7,3.3,1.7,2.0,0.8,2.0,2.8,0.7,0.3,1.8,1.0,3.0,9.3,.529,.571,.500,.833,.713,.676,F,mcdanja02
75,Nemanja Bjelica,0.3,10.0,116,110,-1.5,11.4,0.0,0.3,2021-22,33,GSW,15,0,10.0,1.2,2.3,1.0,1.7,0.2,0.5,0.3,0.5,0.4,1.7,2.1,1.1,0.3,0.1,0.5,1.4,2.9,.529,.577,.375,.571,.580,.574,F,bjeline01
76,Seth Curry,0.3,33.0,141,127,3.0,16.4,0.2,0.3,2021-22,31,BRK,4,4,33.0,5.5,9.8,2.5,4.0,3.0,5.8,0.5,0.8,0.5,2.0,2.5,3.0,0.3,0.8,0.8,3.8,14.5,.564,.625,.522,.667,.719,.718,G,curryse01
77,Danny Green,0.3,26.6,104,113,1.3,9.9,0.3,0.3,2021-22,34,PHI,12,12,26.6,3.0,7.4,0.4,1.1,2.6,6.3,0.0,0.1,0.8,2.3,3.1,0.8,1.0,0.3,1.1,1.9,8.6,.404,.385,.408,.000,.576,.579,G-F,greenda02
78,Monte Morris,0.3,31.2,125,123,2.0,16.1,0.2,0.3,2021-22,26,DEN,5,5,31.2,5.0,10.2,2.8,5.0,2.2,5.2,1.8,2.4,0.2,2.0,2.2,5.4,1.2,0.0,1.6,2.8,14.0,.490,.560,.423,.750,.622,.598,G,morrimo01
79,Patrick Beverley,0.3,32.3,110,113,1.0,11.5,0.1,0.3,2021-22,33,MIN,6,6,32.3,3.5,8.2,2.0,3.8,1.5,4.3,2.5,3.7,0.7,2.5,3.2,4.8,1.2,1.2,2.0,4.7,11.0,.429,.522,.346,.682,.562,.520,G,beverpa01
80,Steven Adams,0.3,16.3,120,109,-1.1,12.8,0.0,0.3,2021-22,28,MEM,7,5,16.3,1.3,3.0,1.3,3.0,0.0,0.0,0.9,1.6,2.1,4.3,6.4,2.1,0.1,0.1,0.6,1.7,3.4,.429,.429,,.545,.464,.429,C,adamsst01
81,Alex Caruso,0.3,28.3,123,108,3.3,12.4,0.2,0.3,2021-22,27,CHI,4,4,28.3,2.3,5.8,0.5,1.3,1.8,4.5,0.0,0.0,0.5,2.3,2.8,4.3,1.3,1.0,0.3,2.8,6.3,.391,.400,.389,,.543,.543,G,carusal01
82,Xavier Tillman Sr.,0.3,15.4,115,109,-0.3,12.1,0.1,0.3,2021-22,23,MEM,9,6,15.4,2.0,2.8,1.9,2.6,0.1,0.2,0.3,0.7,1.4,1.9,3.3,0.7,0.7,0.1,1.1,1.8,4.4,.720,.739,.500,.500,.724,.740,F,tillmxa01
83,Nic Claxton,0.3,24.5,125,113,6.6,24.1,0.2,0.3,2021-22,22,BRK,4,0,24.5,4.8,6.0,4.8,6.0,0.0,0.0,1.0,5.5,1.8,4.5,6.3,1.5,1.3,2.3,0.5,1.5,10.5,.792,.792,,.182,.624,.792,C,claxtni01
84,Jevon Carter,0.3,11.5,105,102,-1.2,8.6,0.0,0.3,2021-22,26,MIL,11,0,11.5,0.8,1.7,0.5,1.1,0.3,0.6,0.2,0.2,0.3,1.2,1.5,0.9,0.7,0.0,0.5,1.1,2.1,.474,.500,.429,1.000,.578,.553,G,carteje01
